raison_sociale,gouvernorat,delegation,secteur_nat,responsable,telephone,email,effectif_total,export
"STE DES BOULANGERS ""EL IKHLAS""",Medenine,Jerba midoun,Industries agricoles et alimentaires,MOHAMED CHARAWANDI,(216-)  75 731 312,,10,NON TOTALEMENT EXPORTATRICE
STE CREMERIE GLE,Medenine,Jerba midoun,Industries agricoles et alimentaires,MONCEF MERKHI,(216-)  98 470 475/ 75 754 336,cremeriegenerale@gnet.tn,21,NON TOTALEMENT EXPORTATRICE
STE HUILERIE BEN HAMMOUDA,Medenine,Jerba midoun,Industries agricoles et alimentaires,AHMED BEN HAMMOUDA,(216-)  98 602 064/ 75 675 167,,11,NON TOTALEMENT EXPORTATRICE
STE BOULANGERIE DE L'AVENIR,Medenine,Jerba midoun,Industries agricoles et alimentaires,RACHID JEBALI,(216-)  75 675 210,,13,NON TOTALEMENT EXPORTATRICE
KATAR TAPIS,Medenine,Ben guerdane,Industries textiles et habillement,RACHID KATAR,(216-)  98 596 648,,35,NON TOTALEMENT EXPORTATRICE
STE ENNAJAH DE BOULANGERIE,Medenine,Ben guerdane,Industries agricoles et alimentaires,KHALIL HELALI,(216-)  98 507 857/ 75 710 877,,13,NON TOTALEMENT EXPORTATRICE
STE CHAUSSETTES KINDA,Monastir,Teboulba,Industries textiles et habillement,SAMI JOMAA,(216-)  73 479 111,comptabilite@kinda.tn,62,NON TOTALEMENT EXPORTATRICE
SOUTH ORGANIC,Kebili,Kebili nord,Industries agricoles et alimentaires,TAIEB FOUDHAILI,(216-)  98 411 065/ 75 493 790,,130,TOTALEMENT EXPORTATRICE
HUILERIE BEN YOUSSEF,Medenine,Jerba ajim,Industries agricoles et alimentaires,MOHAMED BEN SLIMANE BEN YOUSSEF,(216-)  22 750 557,,10,NON TOTALEMENT EXPORTATRICE
STE TNNE D'ANOBLISSEMENT ET DE RETRAITEMENT DE CUIR,Nabeul,Takelsa,Industries textiles et habillement,HABIB BOUFADEN,(216-)  71 382 709,star.cuir@gnet.tn,66,NON TOTALEMENT EXPORTATRICE
ARMATECH,Zaghouan,Bir m'cherga,Métallurgie et travail des métaux,KHALED EL ABED,(216-)  98 370 099/ 71 888 278,armatech.com@gmail.com,14,NON TOTALEMENT EXPORTATRICE
REJEB BEN REJEB,Zaghouan,El fahs,Industries agricoles et alimentaires,REJEB BEN REJEB,,,10,NON TOTALEMENT EXPORTATRICE
STE NOUR CARTHAGE,Sfax,Sfax ouest,Industrie chimique,RANIA REKIK,(216-)  74 620 923,carthage.nour@wanadoo.tn,10,NON TOTALEMENT EXPORTATRICE
STE MAILLOTS DE BAIN - LINGERIE - CONFECTION,Monastir,Jammel,Industries textiles et habillement,MONGI KHALFALLAH,(216-)  73 486 061,mlc@topnet.tn,35,TOTALEMENT EXPORTATRICE
TECHNIQUE DU PAPIER EN CONTINU ET DES ETIQUETTES,Sfax,Sfax ville,"Industrie du papier et du carton, édition et imprimerie",MONCEF FAKHFEKH,(216-)  74 469 220,contact@adhepack.com,53,NON TOTALEMENT EXPORTATRICE
STE MALEK FASHION,Mahdia,Ksour essaf,Industries textiles et habillement,MOHAMED ALI CHEBBI,(216-)  73 663 004,compta.smd@gmail.com,12,TOTALEMENT EXPORTATRICE
MEDICA MEDITERRANEE,Bizerte,Menzel jemil,Industrie chimique,LUCIANIO FECONDIN,(216-)  72 499 034,administration.tn@medica.it,317,TOTALEMENT EXPORTATRICE
STE DE TRANSFORMATION METALLIQUE DU NORD,Bizerte,Ghezala,Métallurgie et travail des métaux,YOUSSEF SAIDANI,(216-)  72 532 202/ 72 487 200,saidani.youssef@planet.tn,34,NON TOTALEMENT EXPORTATRICE
CHAUDRA,Bizerte,Bizerte sud,Métallurgie et travail des métaux,HEDIA KHEMIRI,(216-)  72 510 711,chaudra@planet.tn,83,NON TOTALEMENT EXPORTATRICE
STE DE FABRICATION ET TRANSFORMATION DE MOUSSE,Sfax,El hencha,Autres industries manufacturières,ALI ELLEUCHI,(216-)  74 842 502,kingflex@topnet.tn,10,NON TOTALEMENT EXPORTATRICE
CHEYNET TUNISIE,Sousse,Akouda,Industries textiles et habillement,GIRAUD GREGOIRE,(216-)  22 247 750/ 73 256 755,rgharbi@groupecheynet.com,36,TOTALEMENT EXPORTATRICE
ENTREPOSAGE FRIGORIFIQUE MECHERGUI,Jendouba,Jendouba,Industries agricoles et alimentaires,EZZEDDINE MECHERGUI,(216-)  98 461 760/ 78 610 562,mechergui.ezzedin@yahoo.fr,12,NON TOTALEMENT EXPORTATRICE
IMPRIMERIE TECHNIQUE,Sousse,Sidi Abdelhamid,"Industrie du papier et du carton, édition et imprimerie",MOHAMED GRISSA,(216-)  73 322 483/ 73 322 482,imp.technique@yahoo.fr,12,NON TOTALEMENT EXPORTATRICE
RAFFINERIE ABOU WALID,Sfax,Agareb,Industries agricoles et alimentaires,WALID BEN AMOR,(216-)  71 326 122/ 74 643 640,abou.walid@gnet.tn,44,NON TOTALEMENT EXPORTATRICE
OLIMPIAS MANUFACTURING TUNISIA,Monastir,Sahline,Industries textiles et habillement,FLAVIO SIMONETTI,(216-)  70 248 740/ 73 909 700,flavio.simonetti@olimpias.com.tn,165,TOTALEMENT EXPORTATRICE
GTVL,Monastir,Sayada lamta bouhjar,Industries textiles et habillement,MOHAMED SAHBI DAHMANI,(216-)  23 487 506/ 73 565 703,gtvlsarl@gmail.com,35,TOTALEMENT EXPORTATRICE
STE GTC CONFECTION,Monastir,Teboulba,Industries textiles et habillement,ZOHRA GHACHEM,(216-)  73 479 076,chico.hamida@gmail.com,18,TOTALEMENT EXPORTATRICE
STE NOS ENFANTS,Monastir,Teboulba,Industries textiles et habillement,SAID BEN KHALIFA,(216-)  73 496 719,nosenfants_ybk@yahoo.fr,65,NON TOTALEMENT EXPORTATRICE
KSARTEX,Manouba,Douar Hicher,Industries textiles et habillement,RAOUDHA CHAARI,(216-)  71 621 186/ 71 625 120,shannon.textiles@gnet.tn,190,TOTALEMENT EXPORTATRICE
BORAPLAST,Ben arous,Ben arous,Industrie du caoutchouc et des plastiques,MOHAMED RASSAA,(216-)  71 388 666/ 71 388 999,boraplast@planet.tn,76,NON TOTALEMENT EXPORTATRICE
TUNISIE PLASTIQUES SYSTEMES,Sousse,Sidi Abdelhamid,Industrie du caoutchouc et des plastiques,CHEKIB DEBBABI,(216-)  58 409 000/ 73 322 125,Chekib.debbabi@plastivaloire.com,664,TOTALEMENT EXPORTATRICE
PRECIMECA EXPORT,Bizerte,Menzel jemil,Métallurgie et travail des métaux,MOHAMED GADACHA,(216-)  72 491 850/ 20 209 124,precimeca@wanadoo.tn,13,TOTALEMENT EXPORTATRICE
HUILERIE RABEH FAIDI,Kairouan,El ouaslatia,Industries agricoles et alimentaires,RABEH FAIDI,(216-)  98 824 677,,10,NON TOTALEMENT EXPORTATRICE
CHEKAREN,Monastir,Monastir,Industries textiles et habillement,PAQUEREAU KARENNE,(216-)  73 530 459,,75,TOTALEMENT EXPORTATRICE
COMPTOIR SFAXIEN DE VERRERIE ET MIROITERIE,Sfax,Sfax ville,Fabrication d'autres produits non métalliques,KHALED HADRICHE,(216-)  74 286 287/ 74 225 504,csvm@csvm.com.tn,28,NON TOTALEMENT EXPORTATRICE
STE FRIGORIFIQUE DU SUD,Kebili,Kebili nord,Industries agricoles et alimentaires,ALI DHAOUI,(216-)  75 492 197,,150,TOTALEMENT EXPORTATRICE
STE IND DU PLASTIQUE,Tunis,Jbel jeloud,Industrie du caoutchouc et des plastiques,LOTFI BEN SEDRINE,(216-)  71 494 200,indusplast@hotmail.fr,35,NON TOTALEMENT EXPORTATRICE
STE HANNIBAL MARBRE,Monastir,Bembla,Autres industries extractives,TAHAR BIZID,(216-)  73 478 211,hannibal.marbre@gmail.com,30,NON TOTALEMENT EXPORTATRICE
VOGUE INTER,Ariana,La Soukra,Industries textiles et habillement,NABIL BEN HAMIDA,(216-)  98 272 474,vogue.international@yahoo.fr,88,TOTALEMENT EXPORTATRICE
ETS MOZHER KHANFIR,Ariana,La Soukra,Fabrication d'equipements électriques et électroniques,MOZHER KHANFIR,,emk@gnet.tn,15,TOTALEMENT EXPORTATRICE
CEREALIS,Manouba,El battan,Industries agricoles et alimentaires,KARIM GAHBICHE,(216-)  71 961 996/ 28 528 528,info@cerealis.com.tn,71,NON TOTALEMENT EXPORTATRICE
SOCOMENIN SA,Sfax,Sfax ville,Métallurgie et travail des métaux,NASR FERSI,(216-)  74 101 242/ 74 498 162,marketing@scomenin.com.tn,766,TOTALEMENT EXPORTATRICE
INJEC'S,Sfax,Sakiet ezzit,Industrie du caoutchouc et des plastiques,AMEUR ABDENNADHEUR,(216-)  74 842 007,injecs@mswz.org,10,TOTALEMENT EXPORTATRICE
STE TNNE DE FABRICATION D'ARTICLES POUR BEBES (BENNANE),Monastir,Ksibet el mediouni,Industrie du caoutchouc et des plastiques,MAHFOUDH AYED,(216-)  73 434 704/ 25 434 308,grh@sotufab-plast.tn,600,NON TOTALEMENT EXPORTATRICE
STE L'ENCRIER,Gabes,Mareth,Industrie chimique,JALEL THABTI,(216-)  75 237 200,thabtijalel@yahoo.fr,10,NON TOTALEMENT EXPORTATRICE
SILVATRIM TUNISIE,Bizerte,Utique,Industrie du caoutchouc et des plastiques,FRANCOIS BIOCHE,(216-)  72 494 031/ 72 494 030,contact@silvatrim.mc,280,TOTALEMENT EXPORTATRICE
TECHNIPLAST INDUSTRIE,Bizerte,Menzel jemil,Industrie du caoutchouc et des plastiques,HATEM KAFFEL,(216-)  71 860 244/ 39 140 251,info.tpi@onetech_group.com,488,TOTALEMENT EXPORTATRICE
STE TUNISIE HUILE,Manouba,Mornaguia,Industries agricoles et alimentaires,FAOUZI BLANGI,(216-)  71 590 090/ 70 666 259,,27,NON TOTALEMENT EXPORTATRICE
PM INDUSTRIE,Nabeul,Nabeul,Métallurgie et travail des métaux,PATRICK MERTZ,(216-)  72 224 404/ 72 224 423,pm.industrie@planet.tn,100,TOTALEMENT EXPORTATRICE
T ET T STONE,Kebili,Kebili nord,Fabrication d'autres produits non métalliques,LEONARDO LAROCCA,(216-)  75 490 204,,31,TOTALEMENT EXPORTATRICE
MARTEK POWER TUNISIE,Ariana,La Soukra,Fabrication d'equipements électriques et électroniques,ROBERT CARVAILLO,(216-)  70 694 250/ 70 694 251,robertcarvaillo@eaton.com,270,TOTALEMENT EXPORTATRICE
VIP TUNISIE,Ben arous,Ben arous,Industrie du caoutchouc et des plastiques,ANTOINE DAVID,(216-)  79 391 400,antoine.vip@vip88.fr,54,TOTALEMENT EXPORTATRICE
SAIDAINE HUILE D'OLIVE,Ben arous,Fouchana,Industries agricoles et alimentaires,KARIM SAIDANE,(216-)  98 302 069/ 71 401 871,karim.saidane@planet.tn,20,NON TOTALEMENT EXPORTATRICE
STE GADDOUR,Monastir,Zeramdine,Industries agricoles et alimentaires,FATMA ALLOUCHE,(216-)  73 597 236,societegaddour@yahoo.fr,11,NON TOTALEMENT EXPORTATRICE
PROMESSE TEX,Monastir,Zeramdine,Industries textiles et habillement,RIADH BEN SALAH,(216-)  98 239 987/ 25 239 987,riadh.bensaleh@topnet.tn,104,TOTALEMENT EXPORTATRICE
ELECTRO CABLES TUNISIE,Monastir,Bembla,Fabrication d'equipements électriques et électroniques,JALEL CHAHED,(216-)  73 414 444,steect@hexabyte.tn,26,TOTALEMENT EXPORTATRICE
STE SELITEX (EX SMTE),Manouba,Manouba,Industries textiles et habillement,KARIM BOUSSAADA,(216-)  70 615 331,direction@selitex.net,87,TOTALEMENT EXPORTATRICE
OVERPRINT TUNISIE,Tunis,La goulette,"Industrie du papier et du carton, édition et imprimerie",YVES ISMAEL,(216-)  71 970 459,yves.ismael@overprint.com,27,TOTALEMENT EXPORTATRICE
CABLISYS TUNISIE,Sousse,Kalaa kebira,Fabrication d'equipements électriques et électroniques,SAID CHOUCHENE,(216-)  73 342 202/ 73 342 201,latifa.ben-naya@cablisys.com,71,TOTALEMENT EXPORTATRICE
SOZAK CREATION,Sousse,Ksiba Zaouia Thrayet,Industries textiles et habillement,KAMEL ZAOUI,(216-)  73 390 400,sozakcreation@gmail.com,65,TOTALEMENT EXPORTATRICE
COELEC TUNISIA,Tunis,El hararia,Fabrication d'equipements électriques et électroniques,MOHAMED KARRA,(216-)  71 937 888,coelec.tunisia@topnet.tn,95,TOTALEMENT EXPORTATRICE
ELECTROMED,Ben arous,Nouvelle medina,Fabrication de machines et équipements,LOTFI KOHLI,(216-)  71 388 288,electromed@biolux.com.tn,130,NON TOTALEMENT EXPORTATRICE
INTERWASHING TUNISIA,Nabeul,Soliman,Industries textiles et habillement,DANIEL DIAN,(216-)  72 390 885,info@interwashing-tunisia.com,22,TOTALEMENT EXPORTATRICE
PHYTEAL,Ariana,Sidi thabet,Industrie chimique,SOFIENE DOGHRI,(216-)  70 553 788,phyteal@gnet.tn,15,NON TOTALEMENT EXPORTATRICE
DIAM TUNISIA,Sousse,Sidi Abdelhamid,Industrie du caoutchouc et des plastiques,GARGIULO CHRISTOPHE,(216-)  29 515 003/ 29 515 018,gestpers2.tn@diaminter.com,32,TOTALEMENT EXPORTATRICE
S2M,Sousse,Sidi Abdelhamid,Métallurgie et travail des métaux,SEBESTIN JERINTE,(216-)  73 322 269,pgachet@mathevon.fr,84,TOTALEMENT EXPORTATRICE
MINERAUX BROYES DU SUD,Gabes,El hamma,Autres industries extractives,SADOK HAMDI,(216-)  71 889 401/ 75 275 146,,15,NON TOTALEMENT EXPORTATRICE
MAGECO SARL,Bizerte,Mateur,Industries textiles et habillement,JEAN LUC TARDI,(216-)  72 468 085,magico@planet.tn,208,TOTALEMENT EXPORTATRICE
STE DECO DES LUMIERES ET PARFUMS,Bizerte,Tinja,Autres industries manufacturières,VINCENT MAHE,(216-)  72 472 688,annececile.sblb@wanadoo.tn,47,TOTALEMENT EXPORTATRICE
STE TUNIPET,Sousse,Kondar,Industrie du caoutchouc et des plastiques,MONCEF LAATIRI,(216-)  98 400 607/ 73 277 170,mmexperttunisie@yahoo.com,40,NON TOTALEMENT EXPORTATRICE
OUENNICHE ABDELMONEM,Tunis,Le bardo,Industries agricoles et alimentaires,ABDELMONEM OUENNICHE,(216-)  71 661 795,,45,NON TOTALEMENT EXPORTATRICE
STE ANTICA DE CONSERVE ALIMENTAIRE,Tunis,El hararia,Industries agricoles et alimentaires,NOURI ABDALLAH,(216-)  23 429 914/ 98 429 914,,55,TOTALEMENT EXPORTATRICE
STE DELFINGEN TN,Ben arous,Fouchana,Fabrication d'equipements électriques et électroniques,EMMANUEL KLINKLIN,(216-)  79 408 435/ 79 408 359,elmoez.arjoune@schlemmer.com.tn,58,TOTALEMENT EXPORTATRICE
SOCIETE 3D,Ben arous,Nouvelle medina,Industries du cuir et de la chaussure,MAROUANE BEL HAJ ALI,(216-)  71 382 744,contact3dform@gmail.com,11,NON TOTALEMENT EXPORTATRICE
STE TUNISIE DE TOURNAGE ROBERT,Sousse,Msaken,Métallurgie et travail des métaux,ROCHAIS XAVIER,(216-)  73 323 057,contact@sttr.fr,84,TOTALEMENT EXPORTATRICE
SUMITOMO RIKO GROUP,Ariana,El mnihla,Fabrication de matériel de transport,ZEYED TRABELSI,(216-)  70 563 111,zeyed.trabelsi@tn.sumiriko.com,406,TOTALEMENT EXPORTATRICE
STE LA VIERGE,Beja,Testour,Industries agricoles et alimentaires,ABDELKERIM TORKHANI,(216-)  98 321 362,samitorkhani@yahoo.fr,11,NON TOTALEMENT EXPORTATRICE
STE MABEYA,Jendouba,Tabarka,Industries textiles et habillement,TOUNES MAHJOUBI,(216-)  54 193 686/ 78 670 113,rima.mabeya@gmail.tn,11,NON TOTALEMENT EXPORTATRICE
SINES INDUSTRIE,Zaghouan,Bir m'cherga,Fabrication d'equipements électriques et électroniques,AMJED SIBAI,(216-)  72 640 485,sines.industrie@planet.tn,17,NON TOTALEMENT EXPORTATRICE
STE TNNE DES INDUSTRIES ALIMENTAIRES DU CENTRE,Sousse,Sidi Abdelhamid,Industries agricoles et alimentaires,MOHAMED JOMAA,(216-)  73 322 550,sotiacessahel@yahoo.fr,25,NON TOTALEMENT EXPORTATRICE
STE MAGHATEX,Sfax,El hencha,Industries textiles et habillement,FAKHER CHTOUROU,(216-)  74 842 300,,30,TOTALEMENT EXPORTATRICE
STE ITALO-TUNISIENNE D'ALUMINIUM,Ariana,Raoued,Métallurgie et travail des métaux,MOUCIR DRIRA,(216-)  71 856 584/ 71 859 050,sitalu@topnet.tn,34,NON TOTALEMENT EXPORTATRICE
ALU BOIS,Manouba,Manouba,Travail du bois et fabrication d'articles en bois,IMED FAKHFAKH,(216-)  36 452 816/ 71 602 253,contact@alubois.com.tn,46,NON TOTALEMENT EXPORTATRICE
STE POLYMETAL,Sfax,Sfax ville,Métallurgie et travail des métaux,FAROUK MOALLA,(216-)  58 353 514,,25,NON TOTALEMENT EXPORTATRICE
STE CENI MAROQUINENERIE,Manouba,Manouba,Industries du cuir et de la chaussure,SLAHEDDINE M'SAHLI,(216-)  71 938 180/ 24 600 314,mberganini.mm@gnet.tn,50,TOTALEMENT EXPORTATRICE
ENTREPRISE RATEL BETON,Gabes,Mareth,Fabrication d'autres produits non métalliques,ABDELHAMID RATEL,(216-)  75 290 366/ 75 290 766,ratel.beton@topnet.tn,13,NON TOTALEMENT EXPORTATRICE
ID ZAMAC COMPONENTS,Ben arous,Nouvelle medina,Métallurgie et travail des métaux,LAURENT MONNIER,(216-)  79 391 500/ 79 391 540,o.hammami@id-casting.com,60,TOTALEMENT EXPORTATRICE
STE DE BRODERIE MODERNE,Mahdia,Mahdia,Industries textiles et habillement,MOURAD BEN SALEM,(216-)  73 697 850,broderiemodernemahdia@topnet.tn,25,TOTALEMENT EXPORTATRICE
STE HAMMAMI D'ALIMENTS DE BETAIL,Beja,Goubellat,Industries agricoles et alimentaires,RACHID HAMMAMI,(216-)  78 585 222,,27,NON TOTALEMENT EXPORTATRICE
STE GRES CERAMIQUES DU CAP BON,Nabeul,Dar chaabane e.fehri,Fabrication d'autres produits non métalliques,ZOUHEIR ESSID,(216-)  72 363 000,essid.group@planet.tn,27,NON TOTALEMENT EXPORTATRICE
ZODIAC EQUIPMENTS TUNISIE,Nabeul,Soliman,Fabrication d'equipements électriques et électroniques,RENAUD GUYADER,(216-)  70 018 700,renaud.guyader@zodiacaerospace.com,2081,TOTALEMENT EXPORTATRICE
STE SOFPINCE,Sfax,Sfax sud,Industrie du caoutchouc et des plastiques,SOFIENE JARRAYA,(216-)  74 659 444,sofpince@planet.tn,470,NON TOTALEMENT EXPORTATRICE
ABDESSATTAR BEN ABDALLAH,Sfax,Sfax sud,Fabrication de machines et équipements,ABDESSATTAR BEN ABDALLAH,(216-)  74 672 833,commerciale@gimo.com.tn,18,NON TOTALEMENT EXPORTATRICE
CONFECTION MODERNE EL AMRA,Sfax,El amra,Industries textiles et habillement,TAHA MOALLA,(216-)  74 898 153,,280,TOTALEMENT EXPORTATRICE
PLASCOPAR TUNISIE,Bizerte,Utique,Industrie du caoutchouc et des plastiques,SABINE GILLI,(216-)  72 494 088,comptabilite@plascopartn.tn,73,TOTALEMENT EXPORTATRICE
BUTITEC,Bizerte,Utique,Fabrication d'equipements électriques et électroniques,ANNE CHARLOTTE DERROUSE,(216-)  72 494 257,k.dridi@butitec.com,77,TOTALEMENT EXPORTATRICE
WORLD WIDE WASHING SERVICES,Manouba,Douar Hicher,Industries textiles et habillement,OUSSAMA HADJ TAIEB,(216-)  70 661 830,hadjtaieb.oussama@planet.tn,37,TOTALEMENT EXPORTATRICE
DIGITAL-TEX,Medenine,Jerba houmt souk,Industries textiles et habillement,ZINE EL ABIDINE FENDI,,zine.fendi@gnet.tn,60,NON TOTALEMENT EXPORTATRICE
GOLDEN TEXTILE,Bizerte,Ras el jebel,Industries textiles et habillement,MOHAMED EL HEDI BEJAOUI,(216-)  72 457 787,becotex@web.de,170,TOTALEMENT EXPORTATRICE
STE DHAOUI FRERES,Kebili,Kebili nord,Industries agricoles et alimentaires,ALI DHAOUI,(216-)  75 492 197,,88,TOTALEMENT EXPORTATRICE
STE AGRIFOOD,Nabeul,El haouaria,Industries agricoles et alimentaires,WALID CHERIF,(216-)  71 300 600/ 25 980 238,ridene.agrifood@hotmail.com,40,TOTALEMENT EXPORTATRICE
STE LE PORTAIL,Manouba,Douar Hicher,Métallurgie et travail des métaux,RIM BEN SALEM,(216-)  71 548 888,contact@leportail.tn,25,NON TOTALEMENT EXPORTATRICE
LES ATELIERS TUNISIENS DE SOUDAGE ET CINTRAGE,Nabeul,Korba,Métallurgie et travail des métaux,YVES BREHON,(216-)  72 234 116,contact.atsc@hexabyte.tn,23,TOTALEMENT EXPORTATRICE
SIMEF ELECTRIC,Ben arous,Megrine,Fabrication d'equipements électriques et électroniques,TAIEB BELAID,(216-)  71 296 331,gerant@simef.com.tn,257,NON TOTALEMENT EXPORTATRICE
LCC,Nabeul,Beni khiar,Industrie chimique,ISKANDER DAAS,(216-)  72 228 585,marwamannai@hexabyte.tn,22,TOTALEMENT EXPORTATRICE
STE MEDI CLEAN,Ariana,La Soukra,Industrie chimique,RAFIK TARROUCHE,(216-)  71 868 600/ 70 241 772,contact@mediclean.tn,13,NON TOTALEMENT EXPORTATRICE
STE SCAB ZOUITA ASSILA,Jendouba,Balta Bouawene,Industries agricoles et alimentaires,ABDELKARIM TARKHANI,(216-)  98 321 362,,10,NON TOTALEMENT EXPORTATRICE
STE SOMAF PLUS,Sfax,Thyna,Travail du bois et fabrication d'articles en bois,ABDELAZIZ MAKHLOUFI,(216-)  74 454 210/ 74 454 002,contact@somafplus.tn,10,NON TOTALEMENT EXPORTATRICE
STE LASER INDUSTRIES,Ben arous,Megrine,Métallurgie et travail des métaux,SKANDER KRIAA,(216-)  71 297 134,hktata@laserindustrie.com,20,NON TOTALEMENT EXPORTATRICE
STE ROYALTYRE,Zaghouan,Saouaf,Industrie du caoutchouc et des plastiques,TAHER SBAI,(216-)  72 659 590,royaltyre@planet.tn,12,NON TOTALEMENT EXPORTATRICE
NOVATECH,Zaghouan,Bir m'cherga,Fabrication d'equipements électriques et électroniques,KAREM BELKHIRIA,(216-)  71 238 700/ 72 640 234,karem@westpoint.tn,19,NON TOTALEMENT EXPORTATRICE
STE QUICKTEX,Mahdia,Ksour essaf,Industries textiles et habillement,HEDI DARDOURI,(216-)  73 664 663,quicktex.conf@topnet.tn,16,TOTALEMENT EXPORTATRICE
STE D'UNION NORD OUEST,Jendouba,Tabarka,Autres industries extractives,LAIFA LAIJIA,(216-)  78 670 039/ 98 514 075,,21,NON TOTALEMENT EXPORTATRICE
MICRO TECHNIC INTERNATIONAL TUNISIE,Sousse,Kondar,Industrie du caoutchouc et des plastiques,MONCEF BEN ALI CHERIF,(216-)  31 318 300,m_mahmoudi@microtechnic.org,170,TOTALEMENT EXPORTATRICE
STE HUILA,Sfax,Agareb,Industries agricoles et alimentaires,KAMEL BOUZID,(216-)  74 649 461,societe.huila@hotmail.fr,40,NON TOTALEMENT EXPORTATRICE
ALI LOTFI BEN AMMAR,Gafsa,Gafsa sud,Fabrication d'autres produits non métalliques,ALI LOTFI BEN AMMAR,(216-)  76 210 041,lotfi_ali1@yahoo.fr,75,NON TOTALEMENT EXPORTATRICE
SKAHLA,Kairouan,Kairouan nord,Industries textiles et habillement,JOSE CARLOS PIMENTA,(216-)  77 270 210,skahla@runbox.com,18,TOTALEMENT EXPORTATRICE
"HELIOFLEX NORTH AFRICA ""SPS""",Zaghouan,Bir m'cherga,"Industrie du papier et du carton, édition et imprimerie",RADHOUANE BOURICHA,(216-)  39 140 410/ 39 140 400,r.bouricha@helioflex.com.tn,38,NON TOTALEMENT EXPORTATRICE
STE BEN BRAHIM II,Zaghouan,Ennadhour,Industries agricoles et alimentaires,NOUREDDINE BEN BRAHIM,,,10,NON TOTALEMENT EXPORTATRICE
HAY-TEX (GAFSA),Gafsa,Gafsa sud,Industries textiles et habillement,HAYKEL HFAYDHIA,(216-)  97 707 070/ 76 203 181,hay.tex@hotmail.com,65,TOTALEMENT EXPORTATRICE
STE BAIZA INTERNATIONAL,Sfax,Agareb,Industries textiles et habillement,SOFIEN SAHBANI,,baiza.interplus@gmail.com,50,TOTALEMENT EXPORTATRICE
CROWN MAGHREB,Tunis,El hararia,Métallurgie et travail des métaux,ETIENNE ROUMIER,(216-)  71 158 100,etienne.roumier@eur.crowncork.com,145,NON TOTALEMENT EXPORTATRICE
STE BORJ ESSAYEH,Sidi Bouzid,Sidi bouzid ouest,Industries agricoles et alimentaires,TAREK JALLALI,(216-)  28 518 029/ 76 638 580,essayeh@planet.tn,116,NON TOTALEMENT EXPORTATRICE
PLASTEEL TUNISIE,Ben arous,Megrine,Industrie du caoutchouc et des plastiques,BEN HAMMOUDA FAYCAL,(216-)  71 296 040/ 71 295 073,faycal.benhammouda@plasteel.com.tn,170,TOTALEMENT EXPORTATRICE
STE VIANDE DU CAP BON,Nabeul,Beni khiar,Industries agricoles et alimentaires,CHOKRI BEN OTHMAN,,svcb@planet.tn,12,NON TOTALEMENT EXPORTATRICE
TECALU,Ben arous,Fouchana,Métallurgie et travail des métaux,FRANCOIS FORRAT,(216-)  79 408 321,tecalu@planet.tn,104,TOTALEMENT EXPORTATRICE
STE ALI BEN SLAMA ET CIE,Jendouba,Jendouba,Industries agricoles et alimentaires,SAMI BEN SLAMA,(216-)  22 222 360,,28,NON TOTALEMENT EXPORTATRICE
MANUTENTION SYSTEM,Ben arous,Fouchana,Métallurgie et travail des métaux,MOHAMED HADDAD,(216-)  79 408 171,mhaddad@tms.com.tn,31,NON TOTALEMENT EXPORTATRICE
STE CHEDLY MAHOU,Kairouan,Kairouan sud,Industrie chimique,CHEDLY MAHOU,(216-)  77 231 750/ 77 226 559,,11,NON TOTALEMENT EXPORTATRICE
TRANSFORMATION GENERALE DE VERRE,Sfax,Sakiet ezzit,Fabrication d'autres produits non métalliques,ABDELHAMID DJEMAL,(216-)  74 862 900/ 74 862 990,wajdi.dj@ceg.tn,32,NON TOTALEMENT EXPORTATRICE
STE AUDEO,Monastir,Sayada lamta bouhjar,Industries textiles et habillement,PHILIPPE SOULIER,(216-)  73 434 220,contact@audeo.com.tn,44,TOTALEMENT EXPORTATRICE
GLE DE PATISSERIE ET CONFISERIE,Ben arous,Fouchana,Industries agricoles et alimentaires,MOHAMED AYMEN ABID,(216-)  71 308 475/ 71 308 441,admin@moulindor.net,284,NON TOTALEMENT EXPORTATRICE
STE JMS PLUS,Nabeul,Grombalia,Métallurgie et travail des métaux,SALAH MIOUD,(216-)  72 210 944,jmsplus@topnet.tn,20,NON TOTALEMENT EXPORTATRICE
ISOLMETAL,Nabeul,Grombalia,Métallurgie et travail des métaux,EZZEDDINE AYARI,(216-)  72 340 520/ 72 340 521,isolmetal@planet.tn,12,NON TOTALEMENT EXPORTATRICE
BB TEX,Mahdia,Sidi alouane,Industries textiles et habillement,BRAHIM BELHAJ TAHAR,(216-)  73 658 130/ 73 658 131,bbtex@planet.tn,90,TOTALEMENT EXPORTATRICE
STE BEVEX,Sfax,Mahres,Industries du cuir et de la chaussure,TOUMI CHENIOUR,(216-)  74 291 489,bevex@tunet.tn,40,TOTALEMENT EXPORTATRICE
STE FRIGO LINE,Sousse,Akouda,Industries agricoles et alimentaires,SAMI M'HIRI,(216-)  73 340 700/ 73 340 666,mehdi.nabi@elmouradi.com,20,NON TOTALEMENT EXPORTATRICE
ARTMETAL,Sousse,Msaken,Métallurgie et travail des métaux,BOUCKNOOGHE XAVIER,(216-)  73 285 900,compta@artmetal.com,97,TOTALEMENT EXPORTATRICE
